iter	Passed	Remaining
354	1509	2741
355	1513	2737
356	1516	2730
357	1518	2723
358	1522	2719
359	1526	2713
360	1528	2706
361	1531	2699
362	1534	2692
363	1538	2687
364	1541	2681
365	1544	2675
366	1547	2668
367	1550	2662
368	1554	2657
369	1556	2650
370	1559	2644
371	1562	2637
372	1565	2632
373	1569	2627
374	1572	2621
375	1575	2615
376	1578	2608
377	1583	2605
378	1586	2599
379	1589	2592
380	1591	2586
381	1595	2581
382	1598	2575
383	1602	2570
384	1604	2563
385	1607	2557
386	1610	2550
387	1614	2546
388	1617	2540
389	1620	2534
390	1623	2528
391	1627	2524
392	1630	2518
393	1633	2512
394	1636	2506
395	1639	2500
396	1643	2496
397	1646	2490
398	1649	2484
399	1652	2478
400	1655	2472
401	1659	2467
402	1662	2462
403	1665	2456
404	1667	2450
405	1673	2448
406	1676	2442
407	1678	2436
408	1681	2429
409	1684	2424
410	1688	2419
411	1691	2413
412	1694	2408
413	1696	2401
414	1699	2395
415	1703	2392
416	1707	2387
417	1710	2381
418	1713	2376
419	1717	2371
420	1721	2368
421	1725	2363
422	1728	2357
423	1731	2351
424	1735	2347
425	1738	2342
426	1741	2336
427	1744	2331
428	1749	2329
429	1753	2324
430	1756	2318
431	1759	2313
432	1763	2309
433	1766	2303
434	1769	2298
435	1772	2292
436	1774	2286
437	1778	2282
438	1782	2277
439	1785	2271
440	1787	2265
441	1790	2259
442	1795	2257
443	1798	2252
444	1801	2246
445	1804	2241
446	1807	2235
447	1811	2232
448	1814	2226
449	1817	2221
450	1820	2215
451	1823	2210
452	1826	2205
453	1829	2200
454	1832	2194
455	1834	2189
456	1839	2185
457	1842	2180
458	1845	2175
459	1848	2170
460	1851	2164
461	1855	2160
462	1858	2155
463	1861	2149
464	1863	2144
465	1867	2139
466	1870	2135
467	1873	2130
468	1876	2124
469	1879	2119
470	1882	2114
471	1886	2109
472	1889	2104
473	1891	2099
474	1894	2093
475	1896	2088
476	1901	2084
477	1904	2079
478	1906	2073
479	1908	2068
480	1911	2062
481	1915	2058
482	1918	2053
483	1921	2048
484	1923	2042
485	1926	2037
486	1931	2034
487	1934	2029
488	1937	2024
489	1939	2018
490	1943	2014
491	1947	2010
492	1950	2006
493	1953	2000
494	1956	1995
495	1960	1992
496	1963	1987
497	1966	1981
498	1969	1976
499	1972	1972
500	1976	1968
501	1979	1963
502	1982	1958
503	1984	1953
504	1988	1949
505	1992	1945
506	1995	1940
507	1998	1935
508	2000	1930
509	2004	1925
510	2007	1921
511	2010	1916
512	2013	1911
513	2016	1906
514	2020	1903
515	2023	1898
516	2026	1893
517	2029	1888
518	2032	1884
519	2036	1879
520	2039	1874
521	2042	1869
522	2044	1864
523	2047	1860
524	2052	1856
525	2055	1852
526	2058	1847
527	2061	1842
528	2066	1839
529	2069	1834
530	2071	1829
531	2074	1825
532	2077	1820
533	2080	1815
534	2083	1811
535	2086	1806
536	2089	1801
537	2096	1800
538	2099	1795
539	2103	1791
540	2106	1787
541	2113	1785
542	2116	1781
543	2119	1776
544	2122	1771
545	2126	1768
546	2129	1763
547	2132	1759
548	2135	1754
549	2140	1750
550	2144	1747
551	2147	1742
552	2149	1737
553	2153	1733
554	2157	1729
555	2159	1724
556	2162	1720
557	2165	1715
558	2168	1710
559	2172	1706
560	2175	1702
561	2178	1697
562	2181	1692
563	2184	1688
564	2187	1684
565	2191	1680
566	2193	1674
567	2196	1670
568	2199	1666
569	2203	1662
570	2206	1657
571	2209	1653
572	2212	1648
573	2216	1645
574	2220	1641
575	2223	1636
576	2225	1631
577	2228	1627
578	2232	1623
579	2235	1618
580	2238	1614
581	2241	1609
582	2245	1606
583	2249	1602
584	2252	1598
585	2255	1593
586	2257	1588
587	2262	1585
588	2265	1580
589	2268	1576
590	2270	1571
591	2273	1566
592	2277	1563
593	2280	1558
594	2283	1553
595	2285	1549
596	2288	1544
597	2292	1541
598	2296	1537
599	2298	1532
600	2301	1527
601	2304	1523
602	2308	1519
603	2311	1515
604	2313	1510
605	2316	1506
606	2319	1501
607	2323	1498
608	2326	1493
609	2329	1489
610	2332	1484
611	2337	1481
612	2340	1477
613	2343	1473
614	2346	1468
615	2349	1464
616	2353	1461
617	2357	1456
618	2359	1452
619	2362	1448
620	2366	1444
621	2369	1440
622	2372	1435
623	2375	1431
624	2378	1426
625	2382	1423
626	2385	1418
627	2387	1414
628	2390	1410
629	2393	1405
630	2398	1402
631	2401	1398
632	2404	1394
633	2407	1389
634	2412	1386
635	2414	1382
636	2417	1377
637	2420	1373
638	2423	1369
639	2428	1365
640	2431	1361
641	2434	1357
642	2436	1353
643	2442	1350
644	2445	1346
645	2448	1341
646	2451	1337
647	2454	1333
648	2458	1329
649	2461	1325
650	2464	1321
651	2466	1316
652	2469	1312
653	2473	1308
654	2476	1304
655	2479	1300
656	2482	1295
657	2486	1292
658	2490	1288
659	2492	1284
660	2495	1279
661	2498	1275
662	2502	1271
663	2505	1267
664	2508	1263
665	2511	1259
666	2515	1255
667	2519	1251
668	2522	1248
669	2525	1243
670	2527	1239
671	2532	1235
672	2535	1231
673	2538	1227
674	2541	1223
675	2544	1219
676	2548	1215
677	2550	1211
678	2553	1207
679	2556	1203
680	2559	1199
681	2563	1195
682	2567	1191
683	2569	1187
684	2572	1183
685	2576	1179
686	2579	1175
687	2582	1171
688	2585	1166
689	2587	1162
690	2591	1158
691	2594	1154
692	2598	1150
693	2601	1146
694	2603	1142
695	2608	1139
696	2611	1135
697	2614	1131
698	2617	1127
699	2620	1123
700	2625	1119
701	2628	1115
702	2630	1111
703	2633	1107
704	2637	1103
705	2641	1099
706	2643	1095
707	2646	1091
708	2650	1087
709	2653	1083
710	2656	1079
711	2659	1075
712	2662	1071
713	2666	1068
714	2669	1064
715	2672	1060
716	2675	1055
717	2678	1051
718	2681	1048
719	2684	1044
720	2687	1039
721	2690	1035
722	2693	1031
723	2697	1028
724	2700	1024
725	2703	1020
726	2705	1016
727	2709	1012
728	2713	1008
729	2716	1004
730	2719	1000
731	2722	996
732	2725	992
733	2728	988
734	2731	984
735	2734	980
736	2737	976
737	2741	973
738	2744	969
739	2747	965
740	2750	961
741	2754	957
742	2757	953
743	2760	949
744	2763	945
745	2766	941
746	2770	938
747	2773	934
748	2776	930
749	2779	926
750	2782	922
751	2786	919
752	2790	915
753	2792	911
754	2795	907
755	2800	903
756	2804	900
757	2806	896
758	2809	892
759	2813	888
760	2817	884
761	2819	880
762	2822	876
763	2825	872
764	2829	869
765	2832	865
766	2835	861
767	2838	857
768	2840	853
769	2845	849
770	2848	846
771	2851	842
772	2853	838
773	2856	834
774	2860	830
775	2863	826
776	2866	822
777	2868	818
778	2871	814
779	2876	811
780	2879	807
781	2881	803
782	2884	799
783	2887	795
784	2891	791
785	2894	788
786	2897	784
787	2899	780
788	2903	776
789	2907	772
790	2909	768
791	2912	764
792	2915	761
793	2919	757
794	2923	753
795	2926	750
796	2929	746
797	2932	742
798	2936	738
799	2939	734
800	2941	730
801	2944	727
802	2947	723
803	2950	719
804	2953	715
805	2956	711
806	2959	707
807	2961	703
808	2965	700
809	2968	696
810	2971	692
811	2974	688
812	2976	684
813	2980	681
814	2984	677
815	2986	673
816	2989	669
817	2992	665
818	2996	662
819	2999	658
820	3002	654
821	3005	650
822	3008	647
823	3013	643
824	3016	639
825	3019	636
826	3022	632
827	3026	628
828	3030	625
829	3032	621
830	3035	617
831	3039	613
832	3042	610
833	3045	606
834	3048	602
835	3051	598
836	3055	595
837	3059	591
838	3062	587
839	3064	583
840	3068	580
841	3072	576
842	3075	572
843	3077	568
844	3080	565
845	3084	561
846	3087	557
847	3090	554
848	3093	550
849	3097	546
850	3101	543
851	3104	539
852	3107	535
853	3110	531
854	3114	528
855	3118	524
856	3121	520
857	3123	517
858	3127	513
859	3130	509
860	3133	505
861	3136	502
862	3139	498
863	3143	494
864	3146	491
865	3149	487
866	3152	483
867	3154	479
868	3158	476
869	3162	472
870	3165	468
871	3168	465
872	3170	461
873	3174	457
874	3177	453
875	3181	450
876	3184	446
877	3187	442
878	3192	439
879	3196	435
880	3198	432
881	3201	428
882	3205	424
883	3208	421
884	3211	417
885	3214	413
886	3216	409
887	3220	406
888	3225	402
889	3228	399
890	3231	395
891	3235	391
892	3238	388
893	3241	384
894	3244	380
895	3246	376
896	3250	373
897	3254	369
898	3257	365
899	3259	362
900	3263	358
901	3267	354
902	3270	351
903	3273	347
904	3275	343
905	3279	340
906	3283	336
907	3286	332
908	3288	329
909	3291	325
910	3294	321
911	3297	318
912	3301	314
913	3303	310
914	3306	307
915	3310	303
916	3313	299
917	3316	296
918	3319	292
919	3321	288
920	3326	285
921	3329	281
922	3331	277
923	3334	274
924	3336	270
925	3340	266
926	3343	263
927	3346	259
928	3349	255
929	3352	252
930	3356	248
931	3360	245
932	3363	241
933	3366	237
934	3370	234
935	3374	230
936	3376	227
937	3379	223
938	3383	219
939	3386	216
940	3389	212
941	3392	208
942	3395	205
943	3398	201
944	3402	198
945	3405	194
946	3408	190
947	3411	187
948	3415	183
949	3418	179
950	3421	176
951	3424	172
952	3427	169
953	3431	165
954	3434	161
955	3437	158
956	3440	154
957	3443	150
958	3447	147
959	3450	143
960	3453	140
961	3456	136
962	3460	132
963	3464	129
964	3466	125
965	3469	122
966	3473	118
967	3477	114
968	3480	111
969	3482	107
970	3485	104
971	3489	100
972	3492	96
973	3495	93
974	3498	89
975	3501	86
976	3506	82
977	3509	78
978	3512	75
979	3514	71
980	3518	68
981	3522	64
982	3525	60
983	3528	57
984	3532	53
985	3535	50
986	3538	46
987	3541	43
988	3544	39
989	3547	35
990	3552	32
991	3555	28
992	3558	25
993	3561	21
994	3566	17
995	3570	14
996	3572	10
997	3575	7
998	3578	3
999	3581	0
